SL_No.,Clothing_ID,Age,Review,Rating,Recommendation_Indicator,Positive_Feedback_Count,Department_Name
94,861,33,The perfect striped t,5,1,0,Tops
95,836,24,So beautiful! gorgeous orange color!,5,1,0,Tops
96,923,50,"Lovely top, not lovely shape",3,0,2,Tops
97,1072,34,"Wonderfully made, poorly designed for busty gals",3,1,1,Dresses
98,966,52,Cute vest but...,4,1,0,Jackets
99,863,28,Great top,5,1,0,Tops
100,1081,39,Just ok,3,1,0,Dresses
101,861,46,Pernette henley,4,1,1,Tops
102,966,36,Stylish and versatile!,5,1,0,Jackets
103,845,65,You'll smile on a humid summer's day,5,1,12,Tops
104,966,31,A new staple for my wardrobe,4,1,0,Jackets
105,836,52,Runs short,4,1,0,Tops
106,126,34,Feminine alternative to your shapeless puffer,4,1,1,Intimate
107,1008,31,Love. love. love this skirt!!,5,1,1,Bottoms
108,829,36,Pretry top,5,1,0,Tops
109,1008,51,Great classic,5,1,0,Bottoms
110,829,39,"Beautiful, but scratchy",3,0,9,Tops
111,828,39,On the fence,3,1,2,Tops
112,1008,39,"So pretty, a bit long and bigger than what i read",5,1,0,Bottoms
113,1011,47,Cute skirt!,5,1,1,Bottoms
114,1008,64,Very pretty,5,1,0,Bottoms
115,1008,38,A beautiful skirt!,5,1,2,Bottoms
116,1008,36,Gorgeous skirt!,5,1,1,Bottoms
117,1008,39,Beautiful,4,1,0,Bottoms
118,829,53,Not impressed...,3,0,0,Tops
119,829,36,Fair,3,1,1,Tops
120,829,44,Great colors but....,3,1,0,Tops
121,829,48,Beautiful colors,5,1,0,Tops
122,523,43,Australian sizing!!,3,0,2,Intimate
123,829,33,Vibrant metallic,4,1,0,Tops
124,1126,39,So sad not mine,4,1,0,Jackets
125,829,52,"Scratchy, uncomfortable top",1,0,8,Tops
126,829,64,Yes it's scratchy but it can work out!,4,1,2,Tops
127,1008,52,Classy and cute,5,1,7,Bottoms
128,1126,42,So pretty!,4,1,0,Jackets
129,1020,56,Just as pictured,5,1,6,Bottoms
130,895,55,Great purchase,5,1,0,Tops
131,1104,47,Antoher beautiful maeve dress!,5,1,3,Dresses
132,670,36,Fun,5,1,0,Intimate
133,329,46,Comfy and adorable!,5,1,0,Intimate
134,670,66,Beautiful fabric and style,4,1,0,Intimate
135,868,51,Great for summer,4,1,0,Tops
136,1020,34,Wonderful but going back,5,1,5,Bottoms
137,862,30,"Comfy, casual shirt",4,1,4,Tops
138,895,43,Perfect casual sweater,5,1,9,Tops
139,1094,35,Not for me,2,0,0,Dresses
140,895,41,Perfect for warmer climates,5,1,3,Tops
141,895,39,Need petite,5,1,1,Tops
142,1020,39,Fun,4,1,1,Bottoms
143,895,50,Completes so many outfits!,5,1,5,Tops
144,1020,27,Size up!,4,1,1,Bottoms
145,895,33,Not as pictured.,2,0,8,Tops
146,895,35,"Fits strange, flimsy material",2,0,0,Tops
147,1020,34,"Nice color, love the snap buttons",4,1,0,Bottoms
148,596,41,Modern comfort,5,1,2,Trend
149,1094,54,"It's gorgeous, but...",4,1,0,Dresses
150,1020,41,Runs very small,4,1,4,Bottoms
151,895,47,Pretty,4,1,0,Tops
152,895,52,Nice but too thin,2,0,3,Tops
153,895,62,Lovely and feminine,5,1,9,Tops
154,862,26,A great piece,5,1,2,Tops
155,1020,38,Love everything about this skirt,5,1,3,Bottoms
156,895,53,Perfect comfy now top!,5,1,0,Tops
157,1020,49,Poor quality,3,0,0,Bottoms
158,895,43,Huuuuge,3,0,0,Tops
159,895,36,Not worth cost,3,0,0,Tops
160,895,63,Tunic doesn't look like i am covering up,5,1,1,Tops
161,828,56,Too big,4,0,4,Tops
162,1020,48,Runs small too bad....,3,0,9,Bottoms
163,1020,44,Skirt dimensions are off,4,1,1,Bottoms
164,895,54,Comfort & style,5,1,0,Tops
165,1075,52,Classic,4,1,3,Dresses
166,1104,47,My new favorite dress,5,1,0,Dresses
167,1020,67,Not as pictured!,1,0,17,Bottoms
168,1094,39,Autumn fever,5,1,0,Dresses
169,305,46,Very small,2,0,0,Intimate
170,828,64,Too cute to pass up!,5,1,3,Tops
171,1094,30,Falling goddess,5,1,0,Dresses
172,895,36,Pretty and comfy,4,1,5,Tops
173,1020,52,Perfect skirt,5,1,1,Bottoms
174,647,29,"Easy, comfy & cute",5,1,1,Intimate
175,1025,35,Gorgeous,5,1,14,Bottoms
176,815,55,Pretty,5,1,1,Tops
177,1066,57,Great crop pant,4,1,3,Bottoms
178,840,55,Cute,4,1,5,Tops
179,1026,39,Why so long?,4,1,0,Bottoms
180,840,39,"Runs large, bohemian",5,1,13,Tops
181,1066,46,"Wonderful weight for summer, flattering",5,1,8,Bottoms
182,840,37,Light & large,2,0,1,Tops
183,1030,29,"Must have, right on trend, but still classic",5,1,1,Bottoms
184,840,83,Pretty but runs large!,5,1,0,Tops
185,1066,29,Comfortable & stylish crop pants,5,1,1,Bottoms
186,647,49,Cozy sunday!,5,1,0,Intimate
187,1066,42,Not what i expected,2,0,0,Bottoms
188,872,63,Fun change from the norm,5,1,0,Tops
189,1066,55,Perfect for mediterenian summer,4,1,0,Bottoms
190,647,32,"Loved this, then washed it twice and it fell apart",1,0,3,Intimate
191,1066,26,Super flattering,5,1,0,Bottoms
192,1066,48,Recommend but not for me,3,1,0,Bottoms
193,872,38,Love this!,5,1,0,Tops
194,1066,49,Cute but small,3,1,1,Bottoms
195,1115,41,Really nice sweater coat,4,1,1,Jackets
196,1026,48,Perfect,5,1,1,Bottoms
197,840,32,Very cute top,5,1,0,Tops
198,1066,29,Super cute pants,5,1,1,Bottoms
199,647,32,"Cute, casual dress",5,1,6,Intimate
200,840,51,Runs big!,4,1,1,Tops
201,840,44,Stylish and understated elegant,5,1,1,Tops
202,1018,43,Pockets!,4,1,0,Bottoms
203,840,48,Fits like a maternity top,3,0,1,Tops
204,824,37,Love this top,5,1,1,Tops
205,1115,31,Love this coat!,5,1,2,Jackets
206,840,50,Adorable and flattering,5,1,0,Tops
207,878,47,"Cute, but no go!",3,0,1,Tops
208,984,56,Pretty denim jacket,5,1,2,Jackets
209,1104,25,Amazing peach color!,5,1,6,Dresses
210,1104,54,Perfection.,5,1,0,Dresses
211,984,28,Nice quality but too short for my tall frame,4,1,0,Jackets
212,866,26,"Cute top, but back is more of a jersey material",4,1,0,Tops
213,868,61,Nice color,3,1,0,Tops
214,984,45,Perfect jean jacket,5,1,1,Jackets
215,984,39,Great asset,5,1,7,Jackets
216,1104,36,Gorgeous,5,1,0,Dresses
217,878,41,Comfy and fun!,5,1,11,Tops
218,1182,37,Great tee,5,1,0,Tops
219,868,55,Pretty and feminine,5,1,0,Tops
220,868,83,Sooooooooo cute!,5,1,1,Tops
221,868,35,Peplum hem tee,3,1,2,Tops
222,984,35,So comfortable and chic,5,1,0,Jackets
223,878,41,Perfect sweatshirt,5,1,1,Tops
224,868,69,Clever white edges,4,1,0,Tops
225,1104,36,Love this dress!,5,1,0,Dresses
226,878,46,"Not much structure, boxy...",2,0,0,Tops
227,984,55,Almost perfect denim jacket,5,1,0,Jackets
228,984,36,Perfect,5,1,2,Jackets
229,1024,65,Super nice,5,1,0,Bottoms
230,984,68,I wish it were alless stiff denim. runs small,3,1,16,Jackets
231,984,43,Terrific denim jacket,5,1,3,Jackets
232,1024,40,Cute versatile culottes,5,1,0,Bottoms
233,984,47,My new favorite denim jacket,5,1,0,Jackets
234,984,34,Favorite jean jacket,5,1,0,Jackets
235,984,38,Perfect denim jacket,5,1,0,Jackets
236,1104,41,Best dress ever!,5,1,0,Dresses
237,1131,36,Stylish jacket,3,1,2,Jackets
238,984,47,Adorable!,5,1,0,Jackets
239,1104,63,"Stunning, flattering, and versatile.",5,1,0,Dresses
240,831,35,Pretty blouse!,5,1,0,Tops
241,984,35,Too distressed,4,1,2,Jackets
242,1104,56,Stunning...,5,1,0,Dresses
243,836,41,Cute top,5,1,0,Tops
244,1089,37,Runs large and zipper sticks,3,0,6,Dresses
245,844,34,Very unflattering,3,0,0,Tops
246,836,32,Adorable,4,1,4,Tops
247,836,60,Didn't work for me,3,0,3,Tops
248,836,21,Beautiful top!,5,1,8,Tops
249,836,59,Love this blouse,5,1,0,Tops
250,844,53,Lovely printed blouse,5,1,4,Tops
251,936,27,"Love, love, love!",5,1,2,Tops
252,895,62,Loveee,5,1,7,Tops
253,831,50,My favorite new blouse,5,1,3,Tops
254,844,54,A standout,5,1,13,Tops
255,1066,41,Lovely!,5,1,0,Bottoms
256,844,43,Disappointing!,2,0,0,Tops
257,836,43,Better in person,5,1,1,Tops
258,836,23,Cuter is person,4,1,0,Tops
259,836,51,Airy and flattering,5,1,0,Tops
260,844,41,Awkward fit,3,0,0,Tops
261,1103,49,Beautiful color,4,1,2,Dresses
262,866,46,Really good quality tee!,5,1,5,Tops
263,907,29,Cute top,5,1,6,Tops
264,844,53,Not a good fit,1,0,17,Tops
265,895,66,Cutest vest,5,1,6,Tops
266,1080,74,"Beautiful, vintage feel, delicate beadwork",5,1,9,Dresses
267,831,63,Very interesting design,5,1,0,Tops
268,844,41,Fun and flowy,5,1,0,Tops
269,844,40,Beautiful shirt,4,1,0,Tops
270,831,40,Beautiful fabric,5,1,0,Tops
271,907,49,"Nice basic piece, will get a lot of wear.",5,1,3,Tops
272,895,70,Soft patterned long vest,5,1,1,Tops
273,907,30,Great piece,5,1,1,Tops
274,844,47,Beautiful and timeless,5,1,0,Tops
275,836,27,"Cute top, but not for me",3,0,15,Tops
276,844,36,So disappointed! please fix it!,2,0,0,Tops
277,844,69,Ruffled buttondown,4,1,7,Tops
278,844,52,"Exquisite blouse, runs huge",5,1,1,Tops
279,936,32,Sweater not a coat,2,0,0,Tops
280,907,37,Soft sweater,5,1,4,Tops
281,831,42,Could have been cute...,1,0,6,Tops
282,907,51,Worth the sale price,5,1,2,Tops
283,862,34,Almost but not quite,3,0,0,Tops
284,836,37,"Nice, runs small and short",3,1,3,Tops
285,936,50,Amazing sweatercoat!,4,1,17,Tops
286,895,36,Great piece for layering,5,1,0,Tops
287,836,65,Cute but ...,3,0,0,Tops
288,580,60,Nice thin sweatshirt,5,1,1,Intimate
289,895,46,That special lauer,5,1,0,Tops
290,862,38,Comfy and cute,4,1,0,Tops
291,862,37,Looks better when tried on; very cute,5,1,1,Tops
292,844,46,"Romantic print, elegant & beautiful - i love it!",5,1,4,Tops
293,895,39,Positively agree,5,1,0,Tops
294,895,64,Love the print & style,5,1,4,Tops
295,895,57,So cool,5,1,1,Tops
296,895,44,Modern black and white,5,1,2,Tops
297,836,44,Subdued sexy,5,1,6,Tops
298,859,26,So sexy,4,1,0,Tops
299,862,37,Just okay,3,0,0,Tops
300,1049,48,One of my favorite pieces for night,5,1,0,Bottoms
301,1089,67,Elegant and eye-catching,5,1,0,Dresses
302,1089,24,Work-appropriate lace,4,1,1,Dresses
303,1104,59,Poor quality,3,0,13,Dresses
304,127,47,Soft and cozy,4,1,0,Intimate
305,1104,42,Looks are deceiving,3,1,0,Dresses
306,936,29,Terrific sweater with great detail; runs large,5,1,0,Tops
307,902,54,Pretty/different style,4,1,3,Tops
308,995,41,Poorly executed,2,0,11,Bottoms
309,936,62,Beautiful!,5,1,9,Tops
310,127,29,Great with leggings!,4,1,0,Intimate
311,1104,38,Bad quality.,1,0,20,Dresses
312,1086,25,Flattering and fun!,4,1,9,Dresses
313,936,33,Love love love!,5,1,1,Tops
314,746,34,Lovely fabric but tiny hips,3,1,0,Intimate
315,1081,53,"Lovely dress, small top, different color",4,1,3,Dresses
316,127,46,Too big/so soft,3,1,0,Intimate
317,936,33,Not sure about this one,3,0,1,Tops
318,127,40,"Comfy, but not made to last",3,0,2,Intimate
319,1035,32,Loving these jeans!,5,1,0,Bottoms
320,902,38,Lovely but runs big,4,1,6,Tops
321,995,62,Possibly the cutest skirt ever!,5,1,11,Bottoms
322,1089,34,Classic,5,1,0,Dresses
323,902,58,Sweet little top,5,1,3,Tops
324,1094,40,Comfortable and dressy,5,1,1,Dresses
325,1086,22,Not the best quality,3,0,3,Dresses
326,936,55,"Soft, feminine, versatile",5,1,1,Tops
327,1036,66,Stylish option good for petites,4,1,0,Bottoms
328,936,39,Sweet casual,5,1,0,Tops
329,1094,30,A perfect investment,5,1,1,Dresses
330,1094,53,This dress is gorgeous!,5,1,3,Dresses
331,1086,23,"Great dress, rough zipper",5,1,6,Dresses
332,127,51,Cute & comfy top,5,1,0,Intimate
333,1083,37,Flattering and great buy on sale!,4,1,2,Dresses
334,872,35,I love this shirt,5,1,14,Tops
335,1083,35,Flimsy,2,0,2,Dresses
336,831,40,Super comfy,5,1,0,Tops
337,1080,32,"Pretty pattern, weird fit",3,1,1,Dresses
338,1077,68,Easy and stylish,5,1,2,Dresses
339,964,37,Very versatile,5,1,2,Jackets
340,1089,39,Small boobies only,3,1,1,Dresses
341,872,22,Love the lace up design!,4,1,1,Tops
342,829,33,Disappointed,4,1,0,Tops
343,964,33,Very chic,5,1,0,Jackets
344,829,51,Beautiful and versatile top!,5,1,0,Tops
345,967,56,So pretty and soft,5,1,1,Jackets
346,829,38,Great for work or fun,4,1,2,Tops
347,829,35,Perfect shirt for work or night out.,4,1,0,Tops
348,872,48,Flattering tee,4,1,19,Tops
349,149,38,So soft and comfy and fit for yoga!,4,1,1,Intimate
350,964,58,Funky and classy,5,1,4,Jackets
351,1030,63,Really cute!,5,1,1,Bottoms
352,964,40,Love. this. jacket.,5,1,5,Jackets
353,1083,41,Bunches up weirdly in the front,4,0,0,Dresses
354,872,60,Cute top,4,1,1,Tops
355,872,60,Red tee,5,1,1,Tops
356,829,48,Undecided,4,1,6,Tops
357,872,70,Great casual shirt,4,1,0,Tops
358,964,27,So much better irl,5,1,0,Jackets
359,872,26,Ultimately unimpressed,3,0,3,Tops
360,872,51,Vibrant red color,5,1,1,Tops
361,872,48,Love,5,1,0,Tops
362,1077,30,Looks fine if you don't move your arms.,2,0,0,Dresses
363,967,56,Great plaid!,4,1,1,Jackets
364,872,27,In love with this shirt,5,1,2,Tops
365,964,44,Perfection.,5,1,1,Jackets
366,872,39,Perfect!,5,1,2,Tops
367,149,33,The most comfortable pants ever,4,1,0,Intimate
368,829,60,Perfect top for work,4,1,0,Tops
369,829,44,"Overall, i like it, but some sizing issues...",4,1,0,Tops
370,850,52,"Very pretty, boho chic",5,1,5,Tops
371,850,23,Great too but not for women who have a large bust.,3,0,1,Tops
372,724,69,Cute slip but very body hugging,4,1,1,Intimate
373,833,48,Lovely romantic blouse,5,1,0,Tops
374,862,35,Extra fabric in back adds a lot,5,1,6,Tops
375,1078,61,Great sweater dress!,5,1,1,Dresses
376,850,45,Pretty blouse,5,1,0,Tops
377,1104,25,"Love, love this flattering dress",5,1,1,Dresses
378,1078,33,"Cute, but cheap",3,0,0,Dresses
379,984,40,Love it.,4,1,0,Jackets
380,850,68,Gorgeous top with a hint of pizazz,5,1,3,Tops
381,204,30,Else lingerie jardin silk bralette review,5,1,0,Intimate
382,1078,20,Super cute and flattering too,5,1,1,Dresses
383,862,42,Poor quality,2,0,2,Tops
384,1078,52,Fun dress,5,1,1,Dresses
385,984,42,Very cute jacket!,5,1,2,Jackets
386,1008,24,Cute but too large,4,1,0,Bottoms
387,841,43,"Great, but size down.",4,1,0,Tops
388,1104,51,Not for the busty,3,0,0,Dresses
389,850,39,Pretty adn flattering,5,1,1,Tops
390,1081,39,Love everything about htis dress,5,1,0,Dresses
391,850,57,Manette clipdot blouse,4,1,0,Tops
392,862,35,Runs large,4,1,0,Tops
393,1078,46,Fun mix of colors in the grey version,5,1,1,Dresses
394,850,51,So pretty and great style,5,1,4,Tops
395,831,55,Retailer like it used to be!,5,1,0,Tops
396,833,42,Lovely,5,1,0,Tops
397,984,40,Cute jacket,4,1,0,Jackets
398,1078,31,For the shorter girls,4,1,4,Dresses
399,1081,59,Flattering and comfortable,5,1,10,Dresses
400,833,53,Still love it even if...,4,1,0,Tops
401,850,41,Pretty spring flowers,5,1,1,Tops
402,850,33,Boxy,3,0,0,Tops
403,1078,36,"Cute concept, fits weird",2,0,1,Dresses
404,850,29,Nice but short,3,1,15,Tops
405,850,49,Pretty top for work days,4,1,2,Tops
406,1078,39,Love this dress,5,1,0,Dresses
407,948,40,Itchytown,2,1,0,Tops
408,850,57,"Feminine, flattering, versatile",5,1,0,Tops
409,1078,51,"So cute, but weird fit",3,1,11,Dresses
410,850,58,Awesome top,5,1,7,Tops
411,1078,67,"Comfy, cute, and colorful.",4,1,0,Dresses
412,1078,36,Best fitting dress,5,1,8,Dresses
413,850,27,"Gorgeous, flattering blouse!",5,1,4,Tops
414,948,60,Cropped and itchy,2,0,2,Tops
415,1078,49,Cute but skip the petite unless you are very short,5,1,3,Dresses
416,850,49,Manette clipdot blouse,3,1,7,Tops
417,1081,35,Elegant and well made,5,1,3,Dresses
418,833,60,Lovely,5,1,3,Tops
419,1081,53,Well made,5,1,1,Dresses
420,850,38,Beautiful blouse; very flattering,4,1,29,Tops
421,850,48,Weird color and fit,2,0,0,Tops
422,984,42,Looks better on,5,1,0,Jackets
423,1104,41,Fun tag sale find,5,1,4,Dresses
424,1104,26,Great dress,5,1,4,Dresses
425,1078,25,Cute and fun!,5,1,0,Dresses
426,850,34,The right kind of casual,5,1,1,Tops
427,984,31,Easy jacket,3,1,0,Jackets
428,1078,47,Great dress or tunic,5,1,1,Dresses
429,984,61,Top coat,5,1,0,Jackets
430,850,52,"Love, love, love this tunic!",5,1,1,Tops
431,833,56,Sleeves are really small,3,1,0,Tops
432,850,39,Perfect top!,5,1,0,Tops
433,1081,40,Comfortable and chic,4,1,0,Dresses
434,850,45,Perfect balance of classy and sexy,5,1,1,Tops
435,850,28,Great top,4,1,0,Tops
436,1104,33,"Cute fit, perfect length",5,1,0,Dresses
437,1078,71,Flattering,5,1,0,Dresses
438,1078,36,Cute dress,4,1,2,Dresses
439,1104,35,Great fit,5,1,0,Dresses
440,984,58,Comfortable and great looking,5,1,6,Jackets
441,1078,53,Love this dress!,5,1,2,Dresses
442,984,64,Great jacket!,5,1,32,Jackets
443,833,45,Beautiful blouse but....,3,0,0,Tops
444,850,44,Feminine and pretty,5,1,0,Tops
445,1078,52,Not a fan - childish,3,0,2,Dresses
446,850,56,Runs large through the chest...,4,1,0,Tops
447,984,35,Love! my new favorite jacket!,5,1,0,Jackets
448,831,38,Lovely blouse!,4,1,0,Tops
449,1086,32,Love the lace detail,4,1,0,Dresses
450,820,32,Cute,4,1,0,Tops
451,1094,35,Gorgeous dress,5,1,2,Dresses
452,1094,34,A must buy!!,5,1,0,Dresses
453,1094,36,Prety dress that fits true to size,4,1,1,Dresses
454,1060,40,"Very nice, just as pictured",5,1,0,Bottoms
455,1037,41,Glad i took a chance on these!,4,1,0,Bottoms
456,875,33,Adorable top!!,5,1,2,Tops
457,875,33,Cute top!,4,1,3,Tops
458,820,39,Love,5,1,3,Tops
459,1037,54,Comfortable and unique,4,1,4,Bottoms
460,820,24,Fits so well!,5,1,0,Tops
461,1094,64,Stunning special occasion dress,5,1,30,Dresses
462,833,40,Love this shirt,5,1,1,Tops
463,995,39,"Comfortable, soft",4,1,0,Bottoms
464,1094,42,Not for us chesty girls!,3,0,3,Dresses
465,875,34,Fit is not cute,2,0,2,Tops
466,875,29,Do not like the front,2,0,3,Tops
467,833,49,Not doing anything for me,3,0,1,Tops
468,1060,39,Not for me,3,0,0,Bottoms
469,1094,48,Cute outfit,4,1,2,Dresses
470,835,66,So good,5,1,2,Tops
471,1094,25,Love this dress,4,1,0,Dresses
472,1094,36,Classy little dress,4,1,0,Dresses
473,875,46,Awkward style,2,0,1,Tops
474,835,42,Unique piece / boho chic,5,1,1,Tops
475,833,26,My favorite black top.,4,1,1,Tops
476,833,33,Super flattering,5,1,2,Tops
477,820,52,Pretty tank,5,1,0,Tops
478,835,41,Different than the rest !!!,5,1,0,Tops
479,1060,25,Slimmingly perfect!,5,1,0,Bottoms
480,1037,47,Too bad!,3,1,0,Bottoms
481,820,24,"Very cute, snug fit",4,1,0,Tops
482,1060,44,Surprisingly retro-adorable,4,1,1,Bottoms
483,875,66,Love,5,1,2,Tops
484,835,64,Western look,5,1,1,Tops
485,1078,39,Gorgeous quality knit,5,1,0,Dresses
486,1037,42,"Wanted to love, but sadly will return.",1,0,1,Bottoms
487,820,35,Great top!!,5,1,0,Tops
488,1072,59,Lovely but smells like last purchaser's deodorant.,5,1,0,Dresses
489,1094,64,Interesting but awkward to actually wear,3,1,1,Dresses
490,833,40,"Beautiful, but a few caveats",4,1,11,Tops
491,1037,22,Fun jeggings,4,1,1,Bottoms
492,1094,53,Loved in theory,3,0,4,Dresses
493,995,34,No shape,2,0,1,Bottoms
494,634,29,Great casual dress to throw on,4,1,2,Intimate
495,985,24,Plaid bomb pairs fabulous with everything fall!,5,1,1,Jackets
496,1059,37,Great staple!,5,1,0,Bottoms
497,985,65,Perfect fall jacket,5,1,0,Jackets
498,1059,36,Must have,5,1,6,Bottoms
499,634,35,Lounging dress,4,1,0,Intimate
500,1059,27,Perfect fit,5,1,3,Bottoms
501,634,28,Functional casual dress,5,1,1,Intimate
502,252,46,Best bathing suit!,5,1,0,Intimate
503,634,69,Overpriced but so comfortable,4,1,12,Intimate
504,252,28,My new favorite swim suit,5,1,0,Intimate
505,252,36,Perfect suit,5,1,4,Intimate
506,634,40,Luxurious sleepwear,4,1,0,Intimate
507,1059,80,Please restock!!!,5,1,6,Bottoms
508,838,44,Cute and unique!,4,1,0,Tops
509,252,36,Great suit for busy moms!,5,1,3,Intimate
510,838,41,Beautiful top,5,1,2,Tops
511,838,48,Boxy and short,1,0,3,Tops
512,1059,42,Wanted to love these...but...meh...,3,0,1,Bottoms
513,634,37,Comfy and cute,4,1,0,Intimate
514,1008,38,"Vibrant, effortless, beautiful",5,1,4,Bottoms
515,620,47,Very cute and comfortable,4,1,2,Bottoms
516,634,36,Super comfy,5,1,1,Intimate
517,1059,66,Great basic pants!,5,1,0,Bottoms
518,1059,51,Great pant,4,1,7,Bottoms
519,1059,38,Great staple,5,1,0,Bottoms
520,634,40,Beach cover-up,4,1,2,Intimate
521,1059,37,What a waste,1,0,0,Bottoms
522,252,35,Wonderful swimsuit,5,1,0,Intimate
523,1059,48,Gerat pants,5,1,0,Bottoms
524,1059,49,Great pants that don't get baggy,5,1,1,Bottoms
525,252,70,The perfect swimsuit - functional and stunning!,5,1,11,Intimate
526,1059,38,Not what i had hoped for...,2,0,0,Bottoms
527,252,27,Perfection,5,1,0,Intimate
528,1008,46,Love it!,5,1,1,Bottoms
529,943,50,Thick and beautiful sweater!,5,1,0,Tops
530,634,65,"Loungewear, not outdoor wear",2,0,55,Intimate
531,252,93,Amazing suit!,5,1,3,Intimate
532,838,43,Uniform top,5,1,10,Tops
533,1059,67,Perfect 24/7,5,1,4,Bottoms
534,1059,45,Super comfy and great fit!,5,1,0,Bottoms
535,620,42,Great shorts,5,1,1,Bottoms
536,1059,58,Cute slim pants,5,1,6,Bottoms
